0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3494119.725,388620.733,4290889,3114543.5,3515664.764,1065895457,3416874,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,1.52391819,-31324.17803,2636.261818,64127.03221,-0.924498618,-6.53E-12,0.024344038,1.001528848,0.034936631,2.09E-05
2717380.065,988338.6568,5661752,1875192.5,2891533.801,828496736.5,2269324,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.181598843,56577.66683,129426.2165,93382.77426,-0.924498618,6.04E-13,4.33E-05,0.994621015,0.034936631,2.09E-05
3009042.124,1103340.45,6256924,1995424.5,3204948.464,917233166.5,2631203,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.319039343,36252.47946,178287.7449,58582.39367,-0.924498618,4.60E-13,3.22E-05,0.994166799,0.034936631,2.09E-05
3779075.542,753313.0324,4830121,2503012.5,3853426.07,1153352564,3921494,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.364439568,-135513.7003,-21392.33732,99625.63638,-0.924498618,-1.03E-12,0.000287448,0.985101222,0.034936631,2.09E-05
3010250.928,1024910.934,5960583,2126068.5,3179945.451,917605487.5,2609247,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.347494604,25232.04489,147688.212,39313.65008,-0.924498618,5.39E-13,4.39E-05,0.994525544,0.034936631,2.09E-05
2726548.222,897571.4152,5420946,1916586,2870487.703,831336685.5,2445423,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.381763061,20661.17512,116518.0738,122435.6055,-0.924498618,6.78E-13,6.07E-05,0.996164534,0.034936631,2.09E-05
2864866.993,739032.5873,5117511,2170192.5,2958653.757,873663757.5,2670846,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.103788001,-30893.49232,66223.29618,149784.7466,-0.924498618,9.28E-13,0.00019108,0.997775875,0.034936631,2.09E-05
2820706.353,991432.0658,5796111,2022107.5,2989869.875,859947954.5,2329385,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.198632151,47807.2266,104705.4508,89852.6671,-0.924498618,6.17E-13,4.98E-05,0.993868992,0.034936631,2.09E-05
5072553.183,1038161.029,6318672,3375634,5177699.693,1547655122,5416254,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.300111833,-67670.85761,-167429.8844,-52794.60554,-0.924498618,-6.33E-13,0.000209196,0.994589092,0.034936631,2.09E-05
2975127.817,1051458.809,6017385,2046285,3155463.699,906913511.5,2583210.5,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.311588686,69856.81587,145846.9705,39019.40735,-0.924498618,5.08E-13,3.56E-05,0.994473051,0.034936631,2.09E-05
